symbol,date,buy_price,sell_price,actual_return,predicted_return
603496.SH,2023-11-06,28.18,32.14,14.052519517388221,13.549057960510254
002682.SZ,2023-11-06,6.14,5.59,-8.957654723127034,6.524939060211182
603165.SH,2023-11-06,13.17,13.14,-0.22779043280181746,5.309021472930908
002855.SZ,2023-11-06,32.04,32.49,1.404494382022481,5.0607590675354
601077.SH,2023-11-06,4.04,4.04,0.0,3.7335660457611084
002682.SZ,2023-11-07,6.75,6.15,-8.888888888888884,7.552346706390381
603369.SH,2023-11-07,55.46,54.06,-2.5243418680129794,3.864377737045288
603165.SH,2023-11-07,13.07,13.14,0.5355776587605224,3.630455255508423
601077.SH,2023-11-07,4.03,4.07,0.9925558312655095,3.4676856994628906
600188.SH,2023-11-07,18.86,19.46,3.1813361611877062,2.1501035690307617
603369.SH,2023-11-08,55.94,55.06,-1.5731140507686727,2.4338972568511963
603165.SH,2023-11-08,13.09,13.18,0.6875477463712747,2.241952657699585
000415.SZ,2023-11-08,2.29,2.29,0.0,1.957257628440857
600188.SH,2023-11-08,18.67,19.61,5.03481521156935,1.9014732837677002
601077.SH,2023-11-08,4.0,4.05,1.2499999999999956,1.8694453239440918
000415.SZ,2023-11-09,2.28,2.29,0.4385964912280803,1.8303622007369995
002578.SZ,2023-11-09,3.69,3.8,2.9810298102980997,1.8264707326889038
002044.SZ,2023-11-09,5.96,6.09,2.1812080536912735,1.8114073276519775
000035.SZ,2023-11-09,5.69,5.62,-1.2302284710017624,1.6955839395523071
000541.SZ,2023-11-09,7.13,7.54,5.750350631136047,1.6604735851287842
002682.SZ,2023-11-10,5.63,6.38,13.321492007104796,4.059319019317627
603110.SH,2023-11-10,29.68,29.45,-0.7749326145552575,3.8102731704711914
600257.SH,2023-11-10,6.51,6.54,0.46082949308756144,3.7779953479766846
002760.SZ,2023-11-10,23.41,23.76,1.495087569414786,3.3758304119110107
002853.SZ,2023-11-10,13.86,13.83,-0.21645021645021184,3.1648776531219482
002889.SZ,2023-11-13,30.64,28.8,-6.005221932114882,13.309097290039062
600257.SH,2023-11-13,6.6,6.7,1.5151515151515234,3.993967056274414
000826.SZ,2023-11-13,3.29,3.23,-1.8237082066869317,3.3325977325439453
002849.SZ,2023-11-13,18.02,20.77,15.26082130965594,3.2116777896881104
301358.SZ,2023-11-13,35.55,35.31,-0.6751054852320532,3.050306797027588
600816.SH,2023-11-14,3.41,3.32,-2.639296187683293,5.1808319091796875
600257.SH,2023-11-14,6.59,6.66,1.0622154779969695,4.498116493225098
002889.SZ,2023-11-14,30.16,28.68,-4.907161803713529,4.224064350128174
301358.SZ,2023-11-14,35.3,35.13,-0.4815864022662737,3.7102432250976562
002069.SZ,2023-11-14,4.26,4.45,4.460093896713625,3.387392997741699
600816.SH,2023-11-15,3.38,3.36,-0.5917159763313614,5.662444114685059
600272.SH,2023-11-15,12.14,12.54,3.2948929159802187,3.959883689880371
002069.SZ,2023-11-15,4.29,4.44,3.496503496503505,3.410336494445801
603605.SH,2023-11-15,104.69,101.65,-2.903811252268595,3.161600112915039
600818.SH,2023-11-15,12.5,13.7,9.599999999999994,3.1251490116119385
920491.BJ,2023-11-16,12.41,15.17,22.24012892828364,6.422221660614014
600816.SH,2023-11-16,3.36,3.42,1.7857142857142874,5.742393493652344
002791.SZ,2023-11-16,48.7,48.72,0.041067761806973344,4.851840972900391
002558.SZ,2023-11-16,12.7,12.79,0.7086614173228336,4.645379543304443
600136.SH,2023-11-16,2.38,2.43,2.100840336134465,4.090235233306885
603258.SH,2023-11-17,26.1,25.32,-2.9885057471264407,6.1102986335754395
603737.SH,2023-11-17,54.8,56.47,3.047445255474456,5.284648895263672
002564.SZ,2023-11-17,3.37,3.71,10.089020771513349,5.261240005493164
603444.SH,2023-11-17,282.0,266.7,-5.425531914893622,4.703772068023682
000752.SZ,2023-11-17,6.96,7.33,5.3160919540229905,4.622981548309326
