symbol,entry_date,exit_date,entry_price,exit_price,quantity,actual_return,predicted_return,hold_days,close_reason,position_closed
601019.SH,20230517,20230616,9.93,10.45,1283.2233544193025,5.2366565961732086,12.764819145202637,23,take_profit,partial
601019.SH,20230517,20230619,9.93,10.2,1283.2233544193025,2.7190332326283944,12.764819145202637,24,short_trend_break_2x,full
002315.SZ,20230612,20230619,39.33,40.47,335.3241167184877,2.8985507246376825,14.36133098602295,6,short_trend_break_2x,full
600373.SH,20230619,20230620,15.85,15.21,1674.294977338345,-4.037854889589898,6.067905426025391,2,stop_loss,full
601019.SH,20230620,20230621,10.22,9.61,2625.8870943294824,-5.968688845401186,9.117133140563965,2,stop_loss,full
603196.SH,20230615,20230626,20.15,22.18,652.6144438582958,10.074441687344919,4.680425643920898,6,take_profit,partial
002992.SZ,20230621,20230626,55.0,57.61,241.9985616792841,4.745454545454544,10.374317169189453,2,take_profit,partial
002992.SZ,20230621,20230628,55.0,56.08,241.9985616792841,1.9636363636363605,10.374317169189453,4,short_trend_break_2x,full
603196.SH,20230615,20230629,20.15,19.9,652.6144438582958,-1.240694789081886,4.680425643920898,9,short_trend_break_2x,full
002599.SZ,20230627,20230630,8.55,9.05,1561.0012913281196,5.847953216374268,19.71228790283203,4,take_profit,partial
002599.SZ,20230627,20230703,8.55,8.94,1561.0012913281196,4.561403508771916,19.71228790283203,5,short_trend_break_2x,full
600854.SH,20230626,20230704,5.33,5.48,2467.3612269481832,2.814258911819894,6.09588098526001,7,take_profit,partial
600854.SH,20230626,20230705,5.33,5.36,2467.3612269481832,0.5628517823639821,6.09588098526001,8,short_trend_break_2x,full
600601.SH,20230703,20230706,2.84,3.26,4733.764331095253,14.788732394366194,8.83978271484375,4,take_profit,partial
002919.SZ,20230705,20230710,41.36,40.41,657.8683011413568,-2.296905222437144,8.900470733642578,4,stop_loss,full
000099.SZ,20230529,20230711,7.96,9.61,1570.2339362404991,20.728643216080396,7.983766555786133,30,short_trend_break_2x,full
600129.SH,20230710,20230711,55.99,53.96,493.7115322092647,-3.6256474370423306,9.844956398010254,2,stop_loss_next_open,full
600501.SH,20230711,20230712,15.65,15.26,1758.2059045199533,-2.492012779552719,7.545065879821777,2,stop_loss,full
002654.SZ,20230629,20230713,8.14,10.9,1646.065924574208,33.90663390663391,26.123842239379883,11,take_profit,partial
603178.SH,20230712,20230717,12.08,12.0,2355.0380799624418,-0.6622516556291397,9.319927215576172,4,short_trend_break_2x,full
603767.SH,20230714,20230719,12.4,14.96,1180.1156300585642,20.645161290322584,10.159247398376465,4,take_profit,partial
002962.SZ,20230718,20230720,13.75,13.05,2125.6802590816233,-5.0909090909090855,10.31771183013916,3,stop_loss,full
603767.SH,20230714,20230725,12.4,13.19,1180.1156300585642,6.370967741935477,10.159247398376465,8,short_trend_break_2x,full
002654.SZ,20230629,20230726,8.14,10.23,1646.065924574208,25.675675675675674,26.123842239379883,20,short_trend_break_2x,full
603118.SH,20230721,20230726,12.04,11.25,2452.473699061816,-6.561461794019927,13.216479301452637,4,stop_loss,full
002329.SZ,20230713,20230727,6.45,6.59,2194.3465240735854,2.1705426356589097,10.336074829101562,11,take_profit,partial
002329.SZ,20230713,20230728,6.45,6.6,2194.3465240735854,2.325581395348829,10.336074829101562,12,short_trend_break_2x,full
000037.SZ,20230726,20230728,11.09,10.49,2696.4855227197722,-5.410279531109104,7.05032205581665,3,stop_loss,full
600141.SH,20230731,20230801,24.5,24.03,1261.265449040967,-1.9183673469387708,10.547547340393066,2,stop_loss_next_open,full
600769.SH,20230731,20230802,9.58,9.13,3225.5744782362935,-4.697286012526089,15.082756042480469,3,short_trend_break_2x,full
600463.SH,20230803,20230807,9.85,9.43,3095.7620971439924,-4.263959390862944,4.6299967765808105,3,short_trend_break_2x,full
605589.SH,20230802,20230808,23.16,22.73,1329.121094529095,-1.8566493955094978,8.47592544555664,5,stop_loss,full
603000.SH,20230727,20230809,28.95,30.73,535.8731703896324,6.148531951640765,10.796113967895508,10,take_profit,partial
603348.SH,20230808,20230809,49.04,48.12,616.5010734239034,-1.8760195758564473,4.79257869720459,2,stop_loss,full
603000.SH,20230727,20230810,28.95,29.9,535.8731703896324,3.2815198618307404,10.796113967895508,11,short_trend_break_2x,full
000809.SZ,20230809,20230810,3.98,3.91,7568.077308733886,-1.758793969849242,4.678459167480469,2,stop_loss_next_open,full
600601.SH,20230703,20230811,2.84,3.56,4733.764331095253,25.35211267605635,8.83978271484375,30,short_trend_break_2x,full
000838.SZ,20230811,20230814,4.37,4.05,6929.90618641147,-7.3226544622425696,8.350996017456055,2,stop_loss_next_open,full
000656.SZ,20230810,20230815,2.16,2.15,13977.980299462544,-0.4629629629629736,6.4564595222473145,4,short_trend_break_2x,full
002652.SZ,20230810,20230816,2.84,3.25,5315.5699730350525,14.436619718309865,7.912153720855713,5,take_profit,partial
002654.SZ,20230815,20230816,9.93,9.53,3157.421857915421,-4.028197381671705,12.260108947753906,2,stop_loss_next_open,full
002500.SZ,20230814,20230818,6.42,6.43,2478.1309251267076,0.1557632398753861,5.8645734786987305,5,take_profit,partial
600191.SH,20230817,20230818,6.36,6.1,4956.034642479429,-4.088050314465419,6.254312992095947,2,stop_loss,full
002500.SZ,20230814,20230821,6.42,6.26,2478.1309251267076,-2.492211838006233,5.8645734786987305,6,short_trend_break_2x,full
600468.SH,20230821,20230823,5.9,5.68,5299.582389658522,-3.7288135593220444,11.401296615600586,3,stop_loss,full
002652.SZ,20230810,20230824,2.84,2.77,5315.5699730350525,-2.4647887323943607,7.912153720855713,11,short_trend_break_2x,full
600683.SH,20230817,20230828,7.08,8.28,2226.01555975771,16.94915254237287,9.499335289001465,8,take_profit,partial
601555.SH,20230824,20230830,8.48,8.27,3641.4700592725394,-2.4764150943396324,8.558581352233887,5,stop_loss,full
000014.SZ,20230822,20230901,13.48,13.76,1153.9942674986248,2.0771513353115676,8.707871437072754,9,take_profit,partial
